username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
RobertGarciaLB;2016-11-08 00:53;1;7;Thank you for supporting @KamalaHarris and our Democratic Team https:// twitter.com/bernheimbiz/st atus/795769121379995648 …;;@KamalaHarris;;7.95776E+17;https://twitter.com/RobertGarciaLB/status/795776337013141505;
samala;2016-11-08 00:40;0;0;Generally a fan of @KamalaHarris but this is was the wrong call. This queer brown gal in D8 is all about #RunJaneRun http://www. mercurynews.com/2016/10/23/ele ctions-scott-wiener-gets-kamala-harris-nod-in-battle-with-jane-kim/ …;;@KamalaHarris;#RunJaneRun;7.95773E+17;https://twitter.com/samala/status/795773004370190336;
_HorsesForLife;2016-11-08 00:40;0;1;#California 's @KamalaHarris stands strong for #animalwelfare ! http://www. kamalaharris.org/issues/protect ing-animals/ … #Animals #HorseSlaughter #Senate #Election2016;;@KamalaHarris;#California #animalwelfare #Animals #HorseSlaughter #Senate #Election2016;7.95773E+17;https://twitter.com/_HorsesForLife/status/795772853719220224;
Rockinchick69;2016-11-08 00:40;1;4;@KamalaHarris Breaking America's immigration laws...is more than offensive;;@KamalaHarris;;7.95773E+17;https://twitter.com/Rockinchick69/status/795772842625421312;
ccadelago;2016-11-08 00:39;0;0;In California's U.S. Senate race, @KamalaHarris votes in Los Angeles tomorrow and @Loretta2016 in Orange County;;@KamalaHarris @Loretta2016;;7.95773E+17;https://twitter.com/ccadelago/status/795772773666652160;
sgperez_;2016-11-08 00:38;1;4;Supporters wave to @KamalaHarris as she leaves to her next stop at USC. pic.twitter.com/Ba59MHmIXF;;@KamalaHarris;;7.95773E+17;https://twitter.com/sgperez_/status/795772566371635201;
thedaemonspawn;2016-11-08 00:37;1;3;@KamalaHarris Except for that whole illegally entered country and therefore broke the law part.;;@KamalaHarris;;7.95772E+17;https://twitter.com/thedaemonspawn/status/795772170404294660;
Gimme_Ammo;2016-11-08 00:36;1;2;. @KamalaHarris They're certainly ILLEGALLY here, thus ILLEGAL. They are not US citizens & from another country, thus ALIEN...BITCH;;@KamalaHarris;;7.95772E+17;https://twitter.com/Gimme_Ammo/status/795771943832158208;
hollyammon;2016-11-08 00:34;3;38;@KamalaHarris IT IS OFFENSIVE 2 AMERICANS AND LEGAL IMMIGRANTS WHO COME OBEYING OUR LAWS. SCREW THE ILLEGALS IN THE ASS WITH A POGO STICK;;@KamalaHarris;;7.95771E+17;https://twitter.com/hollyammon/status/795771423440699392;
rachnanivas;2016-11-08 00:33;2;2;Things on my ballot that give me a lot of hope: @HillaryClinton @KamalaHarris @MattHaneySF @YesOn64 #YesProp63 @SFvsBigSoda @Vote16SF;;@HillaryClinton @KamalaHarris @MattHaneySF @YesOn64 @SFvsBigSoda @Vote16SF;#YesProp63;7.95771E+17;https://twitter.com/rachnanivas/status/795771215788941312;
