username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
UK_SLIS;2016-11-08 00:30;0;0;Discussing encryption, privacy, and security with a senator #RonWyden http:// ow.ly/iBT8305ujnJ http:// fb.me/1QEybKxk7;;;#RonWyden;7.96E+17;https://twitter.com/UK_SLIS/status/795770550895382528;
weneverlie;2016-11-07 23:20;1;2;#Election2016 #CrookedHillary @SenJeffMerkley @RonWyden @HillaryClinton @CNN @CNNPolitics @Morning_Joe @MSNBC @mitchellvii @NBCPhiladelphia https:// twitter.com/Sophia4Trump/s tatus/795751836032450560 …;;@SenJeffMerkley @RonWyden @HillaryClinton @CNN @CNNPolitics @Morning_Joe @MSNBC @mitchellvii @NBCPhiladelphia;#Election2016 #CrookedHillary;7.96E+17;https://twitter.com/weneverlie/status/795752878660993024;
coldstreams;2016-11-07 23:04;4;2;"@SuzanneBonamici @RonWyden @JeffMerkley #ObamaCare price quotes age 64 couple, Homer, AK; Bidmidji MN. Stop lying about #ACA success pic.twitter.com/NZOkLiwE95";;@SuzanneBonamici @RonWyden @JeffMerkley;#ObamaCare #ACA;7.96E+17;https://twitter.com/coldstreams/status/795748840087306242;
ArynzMuse;2016-11-07 22:48;1;1;@RonWyden @voxdotcom My husband went to early vote in Chicago today. 1.5 hour wait. Not ok.;;@RonWyden @voxdotcom;;7.96E+17;https://twitter.com/ArynzMuse/status/795744763853029376;
_dby_;2016-11-07 22:18;1;1;14 nov. Special Launch Event: Freedom on the Net 2016 | @FreedomHouseDC ft. @SanjaKelly @RonWyden & more https:// freedomhouse.org/event/special- launch-event-freedom-net-2016#.WCDu-gSrEyg.twitter … #FOTN2016;;@FreedomHouseDC @SanjaKelly @RonWyden;# #FOTN2016;7.96E+17;https://twitter.com/_dby_/status/795737199748726789;
jcant2014;2016-11-07 20:59;0;1;@RonWyden @voxdotcom when will we make Election Day a holiday!!;;@RonWyden @voxdotcom;;7.96E+17;https://twitter.com/jcant2014/status/795717297654534145;
CaptainBerz;2016-11-07 20:34;0;2;LOOK at who DON'T support YOUR right to self defense! Vote NO #Elitist #Election2016 @RonWyden @SenBrianSchatz @SenBlumenthal @Maggie_Hassan pic.twitter.com/95Y68pykfH;;@RonWyden @SenBrianSchatz @SenBlumenthal @Maggie_Hassan;#Elitist #Election2016;7.96E+17;https://twitter.com/CaptainBerz/status/795710989807321089;
ColumbiaEstuary;2016-11-07 20:33;0;0;Thank you @SenJeffMerkley @RonWyden @repblumenauer for your support to include Columbia River restoration in #WRDA ! http:// politicalnews.me/?id=41488&pg=1 &keys=LAKE-TAHOE-RESTORATION-PRIORITY …;;@SenJeffMerkley @RonWyden @repblumenauer;#WRDA;7.96E+17;https://twitter.com/ColumbiaEstuary/status/795710844575227904;
day1038;2016-11-07 19:13;0;1;@RonWyden Ron's Oregon Vote Solution:All Illegals can VOTE w/ a Water Bill for ID & a Lie. But Democrats Lie like a Rug so that's no Problem;;@RonWyden;;7.96E+17;https://twitter.com/day1038/status/795690773375160322;
angieSuMarsh;2016-11-07 19:10;0;3;Voted at my kitchen table to keep #Oregon blue: @HillaryClinton @RonWyden @KateBrownForOR @Chloe4PDX #VoteByMail #ballotdropbox #lovewins;;@HillaryClinton @RonWyden @KateBrownForOR @Chloe4PDX;#Oregon #VoteByMail #ballotdropbox #lovewins;7.96E+17;https://twitter.com/angieSuMarsh/status/795689941573373952;
conroylab;2016-11-07 18:45;1;3;Thank you to finance cmte staff with Senator @RonWyden for a great mtg & support for health behavior research & policy @BehavioralMed;;@RonWyden @BehavioralMed;;7.96E+17;https://twitter.com/conroylab/status/795683636800528388;
cherylkleckner;2016-11-07 18:28;1;0;Thank you Senator @RonWyden ! We need nationwide #VoteByMail . It is unacceptable to have policies that disenfranchise Americans from voting. https:// twitter.com/RonWyden/statu s/795671274424938496 …;;@RonWyden;#VoteByMail;7.96E+17;https://twitter.com/cherylkleckner/status/795679242558111744;
FlyFishReport;2016-11-07 18:15;1;4;RT @WildOwyhee : Are U #WildForTheOwyhee ? RETWEET to show you support PERMANENT protection! @RonWyden @SenJeffMerkley pic.twitter.com/tuofzAlYNm;;@WildOwyhee @RonWyden @SenJeffMerkley;#WildForTheOwyhee;7.96E+17;https://twitter.com/FlyFishReport/status/795676028140195840;
HopePeace_810;2016-11-07 18:04;0;2;@RonWyden @voxdotcom Colorado 'all vote by mail.'. Repub governors wld never allow becuz they know it makes it easier vote & they wld lose;;@RonWyden @voxdotcom;;7.96E+17;https://twitter.com/HopePeace_810/status/795673275141603328;
DCucina96;2016-11-07 18:01;0;3;@RonWyden @voxdotcom Automatic registration, open primaries, ranked choice voting, make Election Day a holiday are all necessary reforms;;@RonWyden @voxdotcom;;7.96E+17;https://twitter.com/DCucina96/status/795672477024354304;
RonWyden;2016-11-07 17:56;117;182;Unacceptable. Exactly why Americans nationwide should have the option to #VoteByMail http://www. vox.com/presidential-e lection/2016/11/6/13542680/there-are-4000-people-in-a-half-mile-voting-line-in-cincinnati-today-this-isn-t-okay …;;;#VoteByMail;7.96E+17;https://twitter.com/RonWyden/status/795671274424938496;
Backcountry_H_A;2016-11-07 17:25;6;11;More than 104,000 acres of #publiclands currently proposed for protection by @RonWyden @RepPeterDeFazio More here http://www. backcountryhunters.org/infographic_fr ank_moore_steelhead_sanctuary … pic.twitter.com/V7QFyls8H1;;@RonWyden @RepPeterDeFazio;#publiclands;7.96E+17;https://twitter.com/Backcountry_H_A/status/795663355184812036;
